1,55,62,58.5,0.5825,5.9829,,,,,,,,,,,
2,58.5,62,60.25,-0.1756,2.9046,,,,,,,,,,,
3,58.5,60.25,59.375,0.2012,1.4737,,,,,,,,,,,
4,59.375,60.25,59.8125,0.0123,0.7315,,,,,,,,,,,
5,59.8125,60.25,60.0313,-0.0818,0.3644,,,,,,,,,,,
6,59.8125,60.0313,59.9219,-0.0348,0.1825,,,,,,,,,,,
7,59.8125,59.9219,59.8672,-0.0113,0.0913,,,,,,,,,,,
8,59.8125,59.8672,59.8398,0.0005,0.0457,,,,,,,,,,,
9,59.8398,59.8672,59.8535,-0.0054,0.0228,,,,,,,,,,,
10,59.8398,59.8535,59.8467,-0.0024,0.0114,,,,,,,,,,,
11,59.8398,59.8467,59.8433,-0.001,0.0057,,,,,,,,,,,
12,59.8398,59.8433,59.8416,-0.0002,0.0029,,,,,,,,,,,
13,59.8398,59.8416,59.8407,0.0001,0.0014,,,,,,,,,,,
14,59.8407,59.8416,59.8411,0,0.0007,,,,,,,,,,,
15,59.8407,59.8411,59.8409,0.0001,0.0004,,,,,,,,,,,
16,59.8409,59.8411,59.841,0,0.0002,,,,1,5.9829,,,,,58.5,5.9829
17,59.841,59.8411,59.8411,0,0.0001,,,,2,2.9046,,,,,60.25,2.9046
18,59.841,59.8411,59.841,0,0,,,,3,1.4737,,,,,59.375,1.4737
19,59.841,59.841,59.841,0,0,,,,4,0.7315,,,,,59.8125,0.7315
20,59.841,59.841,59.841,0,0,,,,5,0.3644,,,,,60.0313,0.3644
21,59.841,59.841,59.841,0,0,,,,6,0.1825,,,,,59.9219,0.1825
22,59.841,59.841,59.841,0,0,,,,7,0.0913,,,,,59.8672,0.0913
23,59.841,59.841,59.841,0,0,,,,8,0.0457,,,,,59.8398,0.0457
,,,,,,,,,9,0.0228,,,,,59.8535,0.0228
,,,,,,,,,10,0.0114,,,,,59.8467,0.0114
,,,,,,,,,11,0.0057,,,,,59.8433,0.0057
,,,,,,,,,12,0.0029,,,,,59.8416,0.0029
,,,,,,,,,13,0.0014,,,,,59.8407,0.0014
,,,,,,,,,14,0.0007,,,,,59.8411,0.0007
,,,,,,,,,15,0.0004,,,,,59.8409,0.0004
,,,,,,,,,16,0.0002,,,,,59.841,0.0002
,,,,,,,,,17,0.0001,,,,,59.8411,0.0001
,,,,,,,,,18,0,,,,,59.841,0
,,,,,,,,,19,0,,,,,59.841,0
,,,,,,,,,20,0,,,,,59.841,0
,,,,,,,,,21,0,,,,,59.841,0
,,,,,,,,,22,0,,,,,59.841,0
,,,,,,,,,23,0,,,,,59.841,0
