1,55,62,59.91116744,-0.03017071,0,,,,,,,,,
2,55,59.91116744,59.84330976,-0.00097498,0.11339226,,,,,,,,,
3,55,59.84330976,59.8411179,-0.00003149,0.0036628,,,,,,,,,
4,55,59.8411179,59.84104711,-0.00000102,0.00011829,,,,,,,,,
5,55,59.84104711,59.84104482,-0.00000003,0.00000382,,,,,,,,,
6,55,59.84104482,59.84104475,0,0.00000012,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,1,0,,,59.91116744,0
,,,,,,,,,2,0.11339226,,11.339226,59.84330976,0.11339226
,,,,,,,,,3,0.0036628,,0.36628,59.8411179,0.0036628
,,,,,,,,,4,0.00011829,,0.011829,59.84104711,0.00011829
,,,,,,,,,5,0.00000382,,0.000382,59.84104482,0.00000382
,,,,,,,,,6,0.00000012,,0.000012,59.84104475,0.00000012
